states_id,State
state 1,AK
state 2,AL
state 3,AR
state 4,AZ
state 5,CA
state 6,CO
state 7,CT
state 8,DC
state 9,DE
state 10,FL
state 11,GA
state 12,GU
state 13,HI
state 14,IA
state 15,ID
state 16,IL
state 17,IN
state 18,KS
state 19,KY
state 20,LA
state 21,MA
state 22,MD
state 23,ME
state 24,MI
state 25,MN
state 26,MO
state 27,MP
state 28,MS
state 29,MT
state 30,NC
state 31,ND
state 32,NE
state 33,NH
state 34,NJ
state 35,NM
state 36,NV
state 37,NY
state 38,OH
state 39,OK
state 40,OR
state 41,PA
state 42,PR
state 43,RI
state 44,SC
state 45,SD
state 46,TN
state 47,TX
state 48,UT
state 49,VA
state 50,VI
state 51,VT
state 52,WA
state 53,WI
state 54,WV
state 55,WY
